,AnalysisDate,ISIN,OAS_Swap,RiskEntityId,TICKER,IndustryGroup,Market,Sector,SectorGroup,Currency,MatDate,SnrtyCodeDesc,Coupon,CouponPaymentFrequencyCode,Effective_Duration,AmtOutstanding,Price,PriceIsRolledOver,MoodyRating,SandPRating,CurveId,MatYears,logOAS,IL_dist,normweight,outlier,suppressed,w,kernel,IL_weight,y,wkil,w_sort,distance
27,5/2/2016,USY20721AJ83,0.030983138,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,2/17/2037,Senior Unsecured,6.625,Semiannually,12.01393263,0.15966392,118.5,N,Baa3,BB+,USD-IDGV-SEN,20.79671458,2.130858013,0,0.021554821,FALSE,FALSE,0.15966392,0.796950194,1,2.063483969,0.127244192,0.67030813,-0.067374044
28,5/2/2016,USY20721AE96,0.032338189,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,10/12/2035,Senior Unsecured,8.5,Semiannually,11.06961667,0.170308181,139.25,N,Baa3,BB+,USD-IDGV-SEN,19.44421629,2.173663765,0,0.022991809,FALSE,FALSE,0.170308181,0.796950194,1,2.10628972,0.135727138,0.67030813,-0.067374044
29,5/2/2016,USY20721AP44,0.013911014,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/4/2019,Senior Unsecured,11.625,Semiannually,2.503640758,0.212885226,125.125,N,Baa3,BB+,USD-IDGV-SEN,2.836413415,1.330095811,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.262721767,0.169658922,0.67030813,-0.067374044
30,5/2/2016,USY20721AK56,0.009966034,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/17/2018,Senior Unsecured,6.875,Semiannually,1.619402456,0.202240965,108.125,N,Baa3,BB+,USD-IDGV-SEN,1.711156742,0.996603398,0,0.027302773,TRUE,FALSE,0,0.796950194,1,0.929229353,0,0.67030813,-0.067374044
31,5/2/2016,US455780AX45,0.031075858,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,2/17/2037,Senior Unsecured,6.625,Semiannually,12.00727757,0.15966392,118.375,N,Baa3,BB+,USD-IDGV-SEN,20.79671458,2.133846155,0,0.021554821,FALSE,FALSE,0.15966392,0.796950194,1,2.066472111,0.127244192,0.67030813,-0.067374044
32,5/2/2016,USY20721AQ27,0.016395122,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/13/2020,Senior Unsecured,5.875,Semiannually,3.510579986,0.212885226,111.25,N,Baa3,BB+,USD-IDGV-SEN,3.863107461,1.494398733,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.427024689,0.169658922,0.67030813,-0.067374044
33,5/2/2016,USY20721AU39,0.018130505,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,5/5/2021,Senior Unsecured,4.875,Semiannually,4.428898213,0.266106533,108.25,N,Baa3,BB+,USD-IDGV-SEN,5.00752909,1.595010813,0,0.035924702,FALSE,FALSE,0.266106533,0.796950194,1,1.527636768,0.212073653,0.67030813,-0.067374044
34,5/2/2016,USY20721BB49,0.029401648,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/17/2042,Senior Unsecured,5.25,Semiannually,14.00233024,0.239495879,102.5,N,Baa3,BB+,USD-IDGV-SEN,25.71115674,2.078465633,0,0.032332232,FALSE,FALSE,0.239495879,0.796950194,1,2.011091588,0.190866288,0.67030813,-0.067374044
35,5/2/2016,USY20721BC22,0.019035279,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,4/25/2022,Senior Unsecured,3.75,Semiannually,5.414703942,0.212885226,102.5,N,Baa3,BB+,USD-IDGV-SEN,5.979466119,1.643708955,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.57633491,0.169658922,0.67030813,-0.067374044
36,5/2/2016,USY20721BD05,0.019922769,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,4/15/2023,Senior Unsecured,3.375,Semiannually,6.24165741,0.15966392,99.38,N,Baa3,BB+,USD-IDGV-SEN,6.951403149,1.689278169,0,0.021554821,FALSE,FALSE,0.15966392,0.796950194,1,1.621904124,0.127244192,0.67030813,-0.067374044
