,AnalysisDate,ISIN,OAS_Swap,RiskEntityId,TICKER,IndustryGroup,Market,Sector,SectorGroup,Currency,MatDate,SnrtyCodeDesc,Coupon,CouponPaymentFrequencyCode,Effective_Duration,AmtOutstanding,Price,PriceIsRolledOver,MoodyRating,SandPRating,CurveId,MatYears,logOAS,IL_dist,outlier,suppressed,w,kernel,IL_weight,y,wkil,w_sort,distance
27,5/2/2016,US698299AZ75,0.025149386,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,7/25/2022,Unsecured,5.625,Semiannually,5.309381476,2.560358893,109.3284,N,Baa2,BBB,USD-PAGV-SEN,6.228610541,1.922248375,0,FALSE,FALSE,2.560358893,0.834866052,1,1.681925936,2.137556722,0.949870523,-0.240322439
28,5/2/2016,US698299AY01,0.020286177,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,6/15/2018,Unsecured,5,Semiannually,2.007313795,1.865535005,104.1267,N,N/A,N/A,USD-PAGV-SEN,2.119096509,1.707354638,0,FALSE,FALSE,1.865535005,0.834866052,1,1.467032199,1.557471846,0.949870523,-0.240322439
29,5/2/2016,US698299AX28,0.012379511,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,1/30/2020,Senior Unsecured,5.2,Semiannually,3.429180632,2.815567568,110.1,N,Baa2,BBB,USD-PAGV-SEN,3.745379877,1.213457681,0,FALSE,FALSE,2.815567568,0.834866052,1,0.973135242,2.350621781,0.949870523,-0.240322439
30,5/2/2016,US698299AW45,0.025100869,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,1/26/2036,Senior Unsecured,6.7,Semiannually,11.55445018,3.817708779,127.2134,N,Baa2,BBB,USD-PAGV-SEN,19.73442847,1.920317387,0,FALSE,FALSE,3.817708779,0.834866052,1,1.679994948,3.187275457,0.949870523,-0.240322439
31,5/2/2016,PAL634445HA6,0.019446146,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,6/5/2019,Unsecured,3,Semiannually,2.941422339,0.752225802,99.98,N,Baa2,BBB,USD-PAGV-SEN,3.091033539,1.665063809,0,FALSE,FALSE,0.752225802,0.834866052,1,1.42474137,0.628007786,0.949870523,-0.240322439
32,5/2/2016,US698299AD63,0.02345618,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,9/30/2027,Senior Unsecured,8.875,Semiannually,8.020052796,1.830118919,143.25,N,Baa2,BBB,USD-PAGV-SEN,11.41136208,1.85254892,0,FALSE,FALSE,1.830118919,0.834866052,1,1.612226481,1.527904158,0.949870523,-0.240322439
33,5/2/2016,PAL634445NA4,0.025146669,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,7/25/2022,Unsecured,5.625,Semiannually,5.309389819,2.560358893,109.33,N,Baa2,BBB,USD-PAGV-SEN,6.228610541,1.922140348,0,FALSE,FALSE,2.560358893,0.834866052,1,1.681817909,2.137556722,0.949870523,-0.240322439
34,5/2/2016,PAL634445PA9,0.022072025,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,2/5/2021,Unsecured,4.875,Semiannually,4.280042438,1.248608487,106.14,N,N/A,BBB,USD-PAGV-SEN,4.76386037,1.791725869,0,FALSE,FALSE,1.248608487,0.834866052,1,1.55140343,1.042420839,0.949870523,-0.240322439
35,5/2/2016,USP90603AL83,0.02017331,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,6/15/2018,Unsecured,5,Semiannually,2.007331325,1.865535005,104.1507,N,N/A,N/A,USD-PAGV-SEN,2.119096509,1.70177533,0,FALSE,FALSE,1.865535005,0.834866052,1,1.461452891,1.557471846,0.949870523,-0.240322439
36,5/2/2016,US698299AV61,0.019104611,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,1/29/2026,Senior Unsecured,7.125,Semiannually,7.401134161,1.839504145,129,N,Baa2,BBB,USD-PAGV-SEN,9.744010951,1.647344606,0,FALSE,FALSE,1.839504145,0.834866052,1,1.407022167,1.535739564,0.949870523,-0.240322439
37,5/2/2016,US698299AT16,0.030800003,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,4/28/2034,Senior Unsecured,8.125,Semiannually,10.78471387,0.441175036,135.7883,N,Baa2,BBB,USD-PAGV-SEN,17.98767967,2.12492969,0,FALSE,FALSE,0.441175036,0.834866052,1,1.884607251,0.368322061,0.949870523,-0.240322439
38,5/2/2016,PAL634445MA6,0.020270656,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,6/15/2018,Unsecured,5,Semiannually,2.007316206,1.865535005,104.13,N,Baa2,N/A,USD-PAGV-SEN,2.119096509,1.706589249,0,FALSE,FALSE,1.865535005,0.834866052,1,1.46626681,1.557471846,0.949870523,-0.240322439
39,5/2/2016,US445545AL04,0.021666364,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/25/2024,Unsecured,5.375,Semiannually,6.575152273,3.754090091,111.25,N,Ba1,BB+,USD-HUGV-SEN,7.89596167,1.773175899,0,FALSE,FALSE,3.754090091,0.808828541,1,1.51261139,3.036415213,0.93039482,-0.260564509
40,5/2/2016,US445545AK21,0.016157205,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/25/2019,Unsecured,4,Semiannually,2.755843321,1.451012132,103.75,N,Ba1,BB+,USD-HUGV-SEN,2.893908282,1.479780978,0,FALSE,FALSE,1.451012132,0.808828541,1,1.219216469,1.173620026,0.93039482,-0.260564509
41,5/2/2016,US445545AJ57,0.021729959,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,11/22/2023,Unsecured,5.75,Semiannually,6.178251612,3.754090091,113.45,N,Ba1,BB+,USD-HUGV-SEN,7.556468172,1.776106824,0,FALSE,FALSE,3.754090091,0.808828541,1,1.515542315,3.036415213,0.93039482,-0.260564509
42,5/2/2016,US445545AH91,0.021797937,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,2/21/2023,Senior Unsecured,5.375,Semiannually,5.78649527,3.754090091,110.375,N,Ba1,BB+,USD-HUGV-SEN,6.806297057,1.779230238,0,FALSE,FALSE,3.754090091,0.808828541,1,1.518665728,3.036415213,0.93039482,-0.260564509
43,5/2/2016,US445545AG19,0.010704311,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,2/19/2018,Senior Unsecured,4.125,Semiannually,1.746799192,1.343269746,103.625,N,Ba1,BB+,USD-HUGV-SEN,1.801505818,1.068061468,0,FALSE,FALSE,1.343269746,0.808828541,1,0.807496959,1.086474909,0.93039482,-0.260564509
44,5/2/2016,US445545AF36,0.026878987,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/29/2041,Senior Unsecured,7.625,Semiannually,13.09974166,2.346306307,141.125,N,Ba1,BB+,USD-HUGV-SEN,24.90622861,1.988759735,0,FALSE,FALSE,2.346306307,0.808828541,1,1.728195225,1.897759508,0.93039482,-0.260564509
45,5/2/2016,US445545AE60,0.020314689,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/29/2021,Senior Unsecured,6.375,Semiannually,4.313329853,5.631135137,113.875,N,Ba1,BB+,USD-HUGV-SEN,4.906228611,1.708759137,0,FALSE,FALSE,5.631135137,0.808828541,1,1.448194627,4.554622819,0.93039482,-0.260564509
46,5/2/2016,US445545AD87,0.018769733,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,1/29/2020,Senior Unsecured,6.25,Semiannually,3.370327646,3.707163965,111.375,N,Ba1,BB+,USD-HUGV-SEN,3.742642026,1.629660522,0,FALSE,FALSE,3.707163965,0.808828541,1,1.369096013,2.998460022,0.93039482,-0.260564509
47,5/2/2016,US455780AU06,0.006910297,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/9/2017,Senior Unsecured,6.875,Semiannually,0.835954867,1.877045046,104.25,N,Baa3,BB+,USD-IDGV-SEN,0.851471595,0.691029659,0,FALSE,FALSE,1.877045046,0.883756448,1,0.49217392,1.658850663,0.862304579,-0.198855739
48,5/2/2016,USY20721BH19,0.023227167,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,10/17/2023,Senior Unsecured,5.375,Semiannually,6.285091681,1.877045046,109.875,N,Baa3,BB+,USD-IDGV-SEN,7.457905544,1.842737479,0,FALSE,FALSE,1.877045046,0.883756448,1,1.643881741,1.658850663,0.862304579,-0.198855739
49,5/2/2016,US455780BW52,0.030536823,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/8/2046,Senior Unsecured,5.95,Semiannually,14.25791092,2.346306307,111.125,N,Baa3,BB+,USD-IDGV-SEN,29.68651608,2.116348184,0,FALSE,FALSE,2.346306307,0.883756448,1,1.917492445,2.073563329,0.862304579,-0.198855739
50,5/2/2016,US455780BV79,0.022918659,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/8/2026,Senior Unsecured,4.75,Semiannually,7.778782683,4.223351352,106.125,N,Baa3,BB+,USD-IDGV-SEN,9.686516085,1.829366268,0,FALSE,FALSE,4.223351352,0.883756448,1,1.63051053,3.732413991,0.862304579,-0.198855739
